EIN,Name,DonorAdvisedFundsHeldCnt,DonorAdvisedFundsContriAmt,DonorAdvisedFundsGrantsAmt
200385860,COLUMBUS MEDICAL ASSOCIATION FOUNDATION UNLIMITED,13,21706,18961
46012492,CAMBRIDGE COMMUNITY FOUNDATION,29,1535134,481479
133392711,FRIENDS OF ISRAEL DISABLED VETERANS INC,2687391,1500049,1437934
561942969,CAPITAL COMMUNITY FOUNDATION INC,127,3102725,939237
911196271,Lake Chelan Health and Wellness Foundation,10,17775,19458
351406033,WAYNE COUNTY INDIANA FOUNDATION INC,40,467094,345457
351883377,WASHINGTON COUNTY COMMUNITY FOUNDATION INC,1,1805,2100
250965466,THE PITTSBURGH FOUNDATION,1070,52316558,22020056
341713261,THE FINDLAY-HANCOCK COUNTY COMMUNITY FOUNDATION,40,729811,770317
362606232,CHRISTIAN MINISTRIES FOUNDATION INC,14,51708,271032
43519422,MEDICAL MISSIONS FOR CHILDREN INC,,,
560668555,UNITED WAY OF GREATER GREENSBORO INC,1,,33200
202351623,BARREN COUNTY EDUCATIONAL FOUNDATION INC,1,20050,0
311751001,GREENE COUNTY COMMUNITY FOUNDATION,323,6661328,2785742
850295444,ALBUQUERQUE COMMUNITY FOUNDATION,100,7158871,2265665
311620483,FOUNDATION FOR APPALACHIAN OHIO,47,381286,528430
237062425,HOMENETMEN C/O MRS SIROON DERDERIAN,,1850000,
411893463,CATHOLIC UNITED FINANCIAL FOUNDATION,256,4151473,2010591
237284004,TOLEDO COMMUNITY FOUNDATION INC,271,11962753,9007415
261215705,SOUTHEAST COASTAL OCEAN OBSERVING REGIONAL ASSOCIATION,,,
752267767,COMMUNITY FOUNDATION OF NORTH TEXAS INC,205,45672440,15827321
742997477,FAYETTE COMMUNITY FOUNDATION,1,0,0
470596705,OREGON TRAIL COMMUNITY FOUNDATION INC,5,33000,219081
455342842,NEW BRAUNFELS AREA COMMUNITY FOUNDATION,31,2198893,347093
316027662,FIRST COMMUNITY FOUNDATION,9,469114,179648
522395867,JUNEAU COMMUNITY FOUNDATION,31,729754,256226
954257997,ASIAN PACIFIC COMMUNITY FUND OF SOUTHERN CALIFORNIA,53,1409873,1246991
136082763,RUDOLF STEINER FOUNDATION INC,169,22941432,17545359
510198509,TIDES FOUNDATION,274,335511014,239193576
60699252,HARTFORD FOUNDATION FOR PUBLIC GIVING,192,8932491,10361121
251380549,Community Foundation of Warren County,36,151371,320968
730579243,JEWISH FEDERATION OF TULSA,15,150828,662955
530220853,AMERICAN INSTITUTE OF BIOLOGICAL SCIENCES INC,1,15000,3095
822596941,HARBOR FUND INC,1,499648,0
386095283,THE COMMUNITY FOUNDATION OF THE HOLLAND/ZEELAND AREA INC,156,11972284,2798490
846048381,THE DENVER FOUNDATION,643,42572000,54013000
640507167,MISSISSIPPI METHODIST FOUNDATION INC,14,39341,322090
311724122,FIRST TEE NEW YORK INC,4,340888,255375
270029283,RAY OF HOPE CANCER FOUNDATION,1,,
411424522,THE DORSEY & WHITNEY FOUNDATION,1,1450000,1450000
208430070,THE INDUS ENTREPRENEURS,1,174760,
311417074,OHIO DENTAL ASSOCIATION FOUNDATION,6,1900,34500
481025832,GREATER NORTHWEST KANSAS COMMUNITY FOUNDATION,11,46119,4075
480614685,KANSAS CITY REGIONAL ASSOCIATION OF REALTORS,1,38702,17550
814107324,CATHOLIC FOUNDATION OF MICHIGAN,22,1157764,800719
471180598,IMPACT CHARITABLE,19,202570,88250
300171971,THE PARK CITY FOUNDATION,52,1476280,880130
391563654,BLACK RIVER FALLS AREA FOUNDATION,73,397291,235224
720471369,UNITED WAY OF SOUTHEAST LOUISIANA,6,9275,358450
571011248,FIRST PRESBYTERIAN CHURCH FOUNDATION,4,188848,71972
943331010,JustGive Inc,1,4748181,9852992
237026859,COMMUNITY FOUNDATIONS OF THE HUDSON VALLEY INC,138,26596746,23751994
390867186,JEWISH FEDERATION OF MADISON INC,6,57359,31446
470700795,OMAHA COMMUNITY PLAYHOUSE FOUNDATION,1,,
521703547,YOUNG VICTORIAN THEATRE COMPANY,4,,
954302067,COMMUNITY PARTNERS,1,5000,3100
274734125,OUR FUND INC,50,4909872,686202
352034336,FRANKLIN COUNTY COMMUNITY FOUNDATION INC,4,94859,44268
720443103,NEW ORLEANS SPEECH AND HEARING CENTER,2,,
541959458,COMMUNITY FOUNDATION OF WESTERN VIRGINIA,112,1117275,1007491
392024542,COMMUNITY FOUNDATION OF CHIPPEWA COUNTY,29,139253,40829
237102632,CHILDREN'S INSTITUTE INC,11,44136,8064
43414988,EMERALD NECKLACE CONSERVANCY INC,,,
952673361,ACLU FOUNDATION OF SOUTHERN CALIFORNIA,,,
141403652,CITY MISSION OF SCHENECTADY City Mission of Schenectady,1,962285,50000
590668483,FLORIDA MEMORIAL UNIVERSITY INC,98,160329,0
582381589,COMMUNITY FOUNDATION OF THE CHATTAHOOCHEE VALLEY INC,215,15637569,9713089
232502873,RESIDENTIAL RESOURCES INC,,,
650104704,BOCA MUSEUM FOUNDATION INC,,,
640503063,PIKE SCHOOL CORPORATION INC A/K/A PARKLANE ACADEMY,1,0,0
223160873,STAYWELL HEALTH CARE INC,26878,,
870619181,UTAH FOSTER CARE FOUNDATION INC,1,0,
841449305,SOUTHERN COLORADO COMMUNITY FOUNDATION,48,579063,85059
582008930,THE CATHOLIC FOUNDATION OF NORTH GEORGIA,14,4795850,632533
610444680,METRO UNITED WAY INC,1,3335425,0
133204330,BUFFALO RENAISSANCE FOUNDATION INC,3,28100,59932
363245072,THE ROTARY FOUNDATION OF ROTARY INTERNATIONAL,334,15897755,12034424
510191738,MIDLANDS COMMUNITY FOUNDATION,21,383821,215858
311748533,SIOUX FALLS AREA COMMUNITY FOUNDATION INC,430,20271772,13281351
223238028,HABITAT FOR HUMANITY OF BERGEN CTY INC,3,415474,165667
911572414,SKAGIT COMMUNITY FOUNDATION,13,305606,221868
710239576,John Brown University,2,,16131
262449481,GIVE BACK FOUNDATION,124342,87223329,71959360
390972350,UNIVERSITY OF WISCONSIN - EAU CLAIRE FOUNDATION INC,3,230000,0
10831698,JEWISHCOLORADO,126,4721262,4249163
60699252,HARTFORD FOUNDATION FOR PUBLIC GIVING,192,8932491,10361121
860146520,PLANNED PARENTHOOD ARIZONA INC,1,0,0
10589927,MINOT COMMUNITY FOUNDATION,52,146965,153773
133581286,PARK AVENUE CHARITABLE FUND,32,1618984,1340850
421088936,CEDAR FALLS COMMUNITY FOUNDATION INC,1,3250,15000
132617681,UNITED WAY OF NEW YORK CITY,0,0,917
953297459,LONG BEACH CITY COLLEGE FOUNDATION,221,110727,93486
270208297,WOODROW WILSON HIGH SCHOOL COMMUNITY FOUNDATION INC,,,
770612679,The Catholic Foundation of Maine,4,950,19300
42103944,BROOKLINE COMMUNITY FOUNDATION INC,1,69300,83000
341884695,JEWISH COMMUNITY BOARD OF AKRON,55,732055,656512
840699243,COMMUNITY FOUNDATION OF NORTHERN COLORADO,210,5044322,4213627
770496500,THE COMMUNITY FOUNDATION SAN LUIS OBISPO COUNTY,90,1020911,2919690
201123519,JEWISH FEDERATION OF OMAHA FOUNDATION,245,7983891,4986486
451501690,CATHOLIC FOUNDATION OF SOUTH LOUISIANA,2,70147,
383246131,BARRY COMMUNITY FOUNDATION,16,142529,392850
240796877,SUNBURY AREA COMMUNITY FOUNDATION,6,8557,6000
411878924,NORTHWESTERN FOUNDATION,11,108950,115150
731556664,LEGACYTREE FOUNDATION,3,169914,
471489275,SHADE,,,
592561967,Sunnyside Foundation Inc,1,41906,41906
410518750,MITCHELL HAMLINE SCHOOL OF LAW,4,,
370810222,Illinois Bar Foundation,2,,
591099774,UNITED WAY OF VOLUSIA-FLAGLER COUNTIES INC,7,50000,45500
311044298,DAYTON FOUNDATION DEPOSITORY,,,
943226023,CALIFORNIA DISTRICT ATTORNEY'S ASSOCIATION FOUNDATION,,,
953367525,SOUTH COAST CHINESE CULTURAL ASSOCIATION,1,,
237181875,Community Foundation for Palm Beach and,,,
942847212,PETALUMA EDUCATIONAL FOUNDATION,1,,36000
133573852,HISPANIC FEDERATION INC,2,2910697,624021
541653165,TIDEWATER JEWISH FOUNDATION INC,136,16537459,5728442
310997017,THE COMMUNITY FOUNDATION OF LOUISVILLE INC,315,17614356,22091504
205272922,PREGNANCY CHOICES LIFECARE CENTER INC,,,
277059768,NPT CHARITABLE ASSET TRUST,4,0,804809
510172429,UNITED JEWISH APPEAL-FEDERATION OF JEWISH PHILANTHROPIES OF NEW YORK INC,,,
752295008,PERMIAN BASIN AREA FOUNDATION,68,4747261,2391720
350869051,FORT WAYNE JEWISH FEDERATION INC DBA JEWISH FEDERATION OF FORT WAYNE INC,6,23604,19350
133219917,EDUCATIONAL FOUNDATION OF ORANGE COUNTY COMMUNITY COLLEGE INC,1,,106955
351830262,COMMUNITY FOUNDATION ALLIANCE INC,108,622700,771854
581021791,JEWISH FEDERATION OF GREATER ATLANTA INC,433,187352164,18651034
631154984,Walker Area Community Foundation Inc,19,43305825,1385618
731396320,COMMUNITIES FOUNDATION OF OKLAHOMA,47,2125326,5875389
237825575,NATIONAL PHILANTHROPIC TRUST,6770,2743761038,994564442
310247014,CROWN POINT COMMUNITY FOUNDATION INC,58,98190,82941
812483755,Kaupo Community Association Inc,1,0,35000
460224588,AUGUSTANA COLLEGE ASSOCIATION,2,320000,95000
61080097,THE COMMUNITY FOUNDATION OF EASTERN CONNECTICUT INC,98,2943997,3969674
951922279,World Vision Inc,103,7566114,11237205
880362053,THE PARASOL TAHOE COMMUNITY FOUNDATION INC,67,4058291,3198700
113618879,THE OJC FUND,953,47276783,44496868
200253310,Pasadena Community Foundation,185,6709434,3424645
231968136,FRIENDS FIDUCIARY CORPORATION,7,1350807,182000
412010078,THE AMERICAN CENTER FOR PHILANTHROPY INC,207,2170677,3415536
43401997,GREATER LOWELL COMMUNITY FOUNDATIONINC,68,450967,431653
820425063,IDAHO COMMUNITY FOUNDATION INC,242,7416554,4517122
135604164,AGUDATH ISRAEL OF AMERICA INC,3,50349,587099
911680527,ORCAS ISLAND COMMUNITY FOUNDATION,44,547321,701735
561842095,CAROLINAS CREDIT UNION FOUNDATION,30,978340,682900
161468127,GREATER OLEAN COMMUNITY FOUNDATION DBA CATTARAUGUS REGION COMMUNITY FOUNDATION,4,538574,21154
742804940,GOLDEN BELT COMMUNITY FOUNDATION,33,127000,262646
520591603,GENERAL GERMAN AGED PEOPLES HOME OF BALTIMORE,2,81203,
480697195,KANSAS AREA UNITED METHODIST FOUNDATION INC,13,238257,277164
371390271,SOUTHEASTERN ILLINOIS COMMUNITY FOUNDATION,22,203742,282633
202454729,COMMUNITIES OF COASTAL GEORGIA FOUNDATION INC,59,3393003,2469809
660548321,RYDER ASSISTED CARE II INC,0,0,0
660461792,EGIDA RYDER INC,0,0,0
364465219,The Community Foundation for McHenry County,17,1043190,1215799
910564748,SEATTLE CHILDREN'S HOSPITAL,,,
270978059,LAKESHORE COMMUNITY FOUNDATION INC,14,4997931,1220651
131919791,THE NEW WORLD FOUNDATION,10,31384001,2070532
311480939,CHILLICOTHEROSS COMMUNITY FOUNDATION INC,38,4193954,133001
351837729,HANCOCK COUNTY COMMUNITY FOUNDATION INC,13,59507,57594
841039305,The Women's Foundation of Colorado Inc,34,297497,275500
311682365,ENDEAVOR FOUNDATION,,11197,1649260
953709639,RANCHO SANTA FE FOUNDATION,142,11561661,5725667
150564081,ONEIDA COUNTY HISTORICAL SOCIETY INC,,,
391145116,UNIVERSITY OF WISCONSIN - LA CROSSE FOUNDATION INC,,,
460423172,RAPID CITY PUBLIC SCHOOL FOUNDATION,1,15000,18500
561380249,COMMUNITY FOUNDATION OF GREATER GREENSBORO INC,281,9569376,15639436
456010377,FARGO-MOORHEAD AREA FOUNDATION CORPORATION,99,2150401,1087898
631209631,THE COMMUNITY FOUNDATION OF GREATER BIRMINGHAM,262,15338932,14576655
251290469,BLOOMFIELD-GARFIELD CORPORATION,,,
341702076,BLACK SWAMP BIRD OBSERVATORY,1,0,0
631225003,COMMUNITY FOUNDATION OF WEST ALABAMA,46,1449565,666908
204832237,THE SAKYONG FOUNDATION,4,20330,55200
61567364,WEST HAVEN ROTARY CLUB FOUNDATION INC C/O JOHN F ONOFRIO,,,
236805376,THE EAGLES MERE FOUNDATION,6,1275,100
362423707,Compassion International Incorporated,,,
931084330,Palau Foundation for World Evangelism,10,283243,263808
237288807,FRIENDS OF THE SIMSBURY PUBLIC LIBRARY,2,0,0
263016384,Mt Lebanon Community Foundation,10,128703,6980
363453471,WEST CENTRAL INITIATIVE,13,299598,568688
237108776,GRAND HAVEN AREA COMMUNITY FOUNDATION INC,200,2413820,2403862
452899583,WORD OF LIFE FOUNDATION INC Attn Roger W Sachleben,18,14548441,10316593
237069988,RENTON REGIONAL COMMUNITY FOUNDATION,30,347800,310276
201475524,Southern New England Consortium of Partnership 2000 Incorporated,,,
351934464,OWEN COUNTY COMMUNITY FOUNDATION,6,10170,2637
161318395,HERITAGE CHRISTIAN SERVICES FOUNDATION INC,10,66588,151238
381360585,UNITED JEWISH FOUNDATION,608,12962340,24982776
522109597,THE AMERICAN FUND FOR CHARITIES C/O GMA FOUNDATIONS,4,463,1223221
262437362,I-CARE FUND AMERICA INC,1,2734527,2470636
540907624,OPPORTUNITY INTERNATIONAL INC D/B/A OPPORTUNITY INTERNATIONAL-US,5,40000,40000
232765498,THE LUZERNE FOUNDATION,100,16463293,17129515
382415081,BRONSON HEALTH FOUNDATION,11,47642,18293
232890364,SCRANTON AREA FOUNDATION INC,57,1223701,564036
156020989,NORTHERN NEW YORK COMMUNITY FOUNDATION,140,1989554,1265980
850303044,SANTA FE COMMUNITY FOUNDATION,137,5851707,4354354
561330792,COMMUNITY FOUNDATION OF HENDERSON COUNTY INC,136,1424636,1479945
311175045,TIPTON COUNTY FOUNDATION INC,21,22778,1750
812936073,AMERICAN MUSLIM FUND,50,657439,464383
320196064,THE COMMUNITY FOUNDATION FOR CARVER COUNTY,1,7130,
611043635,FEEDING AMERICA KENTUCKY'S HEARTLAND INC,42500,,
953544877,PROVIDENCE HEALTH & SERVICES FOUNDATION SAN FERNANDO & SANTA CLARITA VALLEYS SA,,,
42104268,DOUGLAS A THOM CLINIC INC,2,0,8747
341935499,HUDSON COMMUNITY FOUNDATION,70,1403423,2874426
341747398,AMERICAN ENDOWMENT FOUNDATION,6988,1076612424,344654502
260024403,ATM INDUSTRY ASSOCIATION,2,,
460398115,SOUTH DAKOTA COMMUNITY FOUNDATION,108,1884967,1229189
310679012,COLUMBUS MEDICAL ASSOCIATION FOUNDATION,9,28446,1000
481175198,RICE COUNTY COMMUNITY FOUNDATION INC,5,53624,203041
651259308,COMERICA CHARITABLE TRUST,95,13329685,8803608
262048480,IMPACTASSETSINC,1184,203212104,144884761
521714111,THE KOREA SOCIETY INC,2,,
720503930,UNITED WAY OF NORTHWEST LOUISIANA,5,225185,191121
10702102,UNIVEST FOUNDATION,69,669506,1134955
474844275,THE DONORS FUND,957,15094742,12272551
43397617,Friends of the Community Growing Center Inc,322358,,
463894713,THE LONGMONT COMMUNITY FOUNDATION,137,1055353,795267
351757753,NATIONAL GYMNASTICS FOUNDATION INC,2,56743,7500
942995085,NORTHBAY HEALTHCARE FOUNDATION,14,15750,39345
222743917,COMMUNITY FOUNDATION FOR GREATER BUFFALO INC,237,16210903,9975784
481076910,HUTCHINSON COMMUNITY FOUNDATION,81,1838060,2185023
541506312,CHARLOTTESVILLE AREA COMMUNITY FOUNDATION,241,23523841,17563293
133843389,MAJOR LEAGUE BASEBALL PLAYERS TRUST,7,,12830
391772651,INCOURAGE COMMUNITY FOUNDATION INC,47,92433,119013
421526614,COMMUNITY FOUNDATION OF GREATER DUBUQUE,179,3730508,4169320
943396165,RSF GLOBAL COMMUNITY FUND INC,0,0,0
510163180,WEST VIRGINIA SCHOOL OF OSTEOPATHIC MEDICINE FOUNDATION INCORPORATED,1,0,0
720408921,THE GREATER NEW ORLEANS FOUNDATION,451,25075992,13630063
841637102,THE VALLEY COMMUNITY FOUNDATION INC,71,234663,321762
880370179,COMMUNITY FOUNDATION OF WESTERN NEVADA,107,5883345,5607997
341908579,CATHOLIC COMMUNITY FOUNDATION,25,1165677,373125
631270745,THE BLACK BELT COMMUNITY FOUNDATION,2,,14599
204654550,EASTERN CAROLINA COMMUNITY FOUNDATION,50,614398,347958
752675978,NATIONAL BOY SCOUTS OF AMERICA FOUNDATION,18,883182,1766620
43243004,PROTEUS FUND INC,11,7578948,7947936
521986675,FOUNDATION FOR THE NATIONAL INSTITUTES OF HEALTH INC,2,2500,3100
942808039,COMMUNITY FOUNDATION SANTA CRUZ COUNTY,133,8525441,9049705
956068137,COMMUNITY FOUNDATION OF THE VERDUGOS,42,332658,196532
43367888,THE GIVING BACK FUND INC,9,150287,255102
527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,7276,683308229,352252503
391834961,GRANT REGIONAL HEALTH CENTER FOUNDATION INC,1,0,0
742206098,ST DAVID'S COMMUNITY HEALTH FOUNDATION HOLDINGS,1,560,0
231581832,THE PHILADELPHIA FOUNDATION,393,42999882,16363783
274734125,OUR FUND INC,59,1906087,1271327
411555592,SOUTHWEST INITIATIVE FOUNDATION,25,658286,188439
650833500,MANATEE COMMUNITY FOUNDATION INC,138,2881194,1811637
650173371,THE COMMUNITY FOUNDATION TRUST OF SARASOTA COUNTY,2,,384213
363978733,THE DUPAGE COMMUNITY FOUNDATION,117,5867736,5558890
541623966,RICHMOND JEWISH FOUNDATION,83,898599,1244612
391869271,THE WILLIAM J AND BARBARA A SCHMIDT FAMILY FOUNDATION INC,4,428357,296225
411409203,EDEN PRAIRIE COMMUNITY FOUNDATION,6,140951,65132
111661352,BUCKLEY COUNTRY DAY SCHOOL,9,32737,
381951024,UNITED WAY OF WASHTENAW COUNTY,3,1139708,1138500
310908698,COMMUNITY FOUNDATION FOR THE OHIO VALLEY INC,79,881981,499611
561695787,HIGH POINT COMMUNITY FOUNDATION,107,7124423,8384616
720435080,ST MARGARET'S DAUGHTERS HOME,,,
251449252,KAPPA DELTA RHO FOUNDATION,1,,
311640316,SCHWAB CHARITABLE FUND,47651,3349182315,1869792228
411306304,PACER CENTER INC,1,,
750851900,ABILENE CHRISTIAN UNIVERSITY,12,115000,322255
560668555,UNITED WAY OF GREATER GREENSBORO INC,1,,45550
860975231,TECHNICAL ASSISTANCE PARTNERSHIP OF ARIZONA,1,0,3800
311500805,UNION COUNTY COMMUNITY FOUNDATION INC,,,
311167624,DELAWARE COUNTY CULTURAL ARTS CENTER,5,,
593725701,UNITED WAY SUNCOAST INC,0,,
382971898,CANTERBURY HEALTH CARE INC,0,0,0
753023740,THE TRISKELES FOUNDATION,126,1529074,1227140
621744695,SECOND PRESBYTERIAN CHURCH FOUNDATION INC,20,2236923,-1192411
630308398,COMMUNITY FOUNDATION OF NORTHEAST AL,24,628053,288532
522403462,Large Unit District Association,1,1050,-150
60646691,JEWISH COMMUNITIES OF WESTERN CONNECTICUT INC,7,22312,13060
421508117,COMMUNITY FOUNDATION OF JOHNSON COUNTY,100,1817376,1700057
237252609,MS FOUNDATION FOR WOMEN INC,7,282705,244000
251292553,BRIDGE BUILDERS COMMUNITY FOUNDATIONS FKA VENANGO AREA COMM FOUNDATION,12,158015,109797
582010071,FAYETTEVILLE PUBLIC EDUCATION FOUNDATION INC,,,
941312348,UNITED WAY OF THE BAY AREA,27,1108927,1083361
510138674,JEWISH FEDERATION OF GREATER MANCHESTER DBA JEWISH FEDERATION OF NEW HAMPSHIRE,1,,
46050221,BRAINTREE HISTORICAL SOCIETY INC,,,
396044637,WISCONSIN MASONIC FOUNDATION,40,132000,171073
410693887,THE UNITED JEWISH FUND AND COUNCIL JEWISH FEDERATION OF GREATER ST PAUL,30,403870,548443
10564355,THE FOUNDATION FOR ENHANCING COMMUNITIES,136,1769349,1886214
680349777,COMMUNITY FOUNDATION OF THE NAPA VALLEY,53,2814641,1738777
640918136,RTS Foundation Inc,4,39000,92787
311565086,WARREN COUNTY FOUNDATION,13,2282654,529900
593001853,COMMUNITY FOUNDATION OF TAMPA BAY INC,345,15004424,9870440
330907092,THE SAN DIEGO WOMEN'S FOUNDATION,2,320481,190000
520591538,ASSOCIATED CATHOLIC CHARITIES INC,3,2000000,130000
526055229,NATIONAL SCIENCE TEACHERS ASSOCIATION,1,0,32303
520741814,The Foundation of the Federal Bar Association,1,67000,67000
943192688,KAZAN MCCLAIN PARTNERS' FOUNDATION,9,210096,423400
396074258,MIELKE FAMILY FOUNDATION INC,17,7000,23893
590967823,UNITED JEWISH COMMUNITY OF BROWARD COUNTY INC,86,6168964,3526670
311145986,OHIO STATE UNIVERSITY FOUNDATION,0,0,0
743169773,ST FRANCIS COMMUNITY SERVICES,1,,
237100537,MASSASOIT COMMUNITY COLLEGE FOUNDATION INC,1,0,0
60655480,AVON OLD FARMS SCHOOL INC,1,20939,52248
952942582,THE SAN DIEGO FOUNDATION,717,82190117,53756535
391548450,COMMUNITY FOUNDATION FOR THE FOX VALLEY REGION INC,446,113355217,10232196
541929483,THE UNITED WAY OF SOUTH HAMPTON ROADS FOUNDATION,9,23450,20573
953645825,JEWISH COMMUNITY FOUNDATION OF ORANGE COUNTY,296,14451868,10268650
411555592,SOUTHWEST INITIATIVE FOUNDATION,22,1439338,192456
231686634,LEHIGH VALLEY COMMUNITY FOUNDATION,79,9333730,2231022
611337087,KENTUCKY EQUINE MANAGEMENT INTERNSHIP PROGRAM INC,,,
161115992,SUBURBAN ADULT SERVICES INC,,,
362167761,Jewish Federation of Metropolitan Chicago,970,38982000,44208000
450348296,UND Alumni Association and Foundation,1,59085,0
593496645,STEWART-MARCHMAN-ACT FOUNDATION INC,1,37692,28295
593079371,THE FLAGLER AUDITORIUM GOVERNING BOARD INC,1,,
582389721,THE ATLANTA WOMEN'S FOUNDATION INC,1,0,0
236002304,CORPORATION OF HAVERFORD COLLEGE,1,0,125000
231660797,PHILADELPHIA BAR FOUNDATION,3,1100,18574
541071370,PHYSICIAN ASSISTANT FOUNDATION OF THE AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS,22,40378,15000
590948696,JEWISH FEDERATION OF PALM BEACH COUNTY INC,100,4284710,2702907
463309222,ROMAN CATHOLIC FOUNDATION OF EASTERN MISSOURI,18,2378577,282055
820527986,IDAHO WOMEN'S CHARITABLE FOUNDATION INC,206,384300,361300
956105984,MEMORIAL MEDICAL CENTER FOUNDATION,6,60000,0
570351398,SPARTANBURG COUNTY FOUNDATION,173,9443684,2794387
481035296,CLAY COUNTY HOSPITAL FOUNDATION,2,0,
752354560,EXCHANGE CLUB OF LAKE HIGHLANDS INC,3,0,18000
61433299,MAIN STREET COMMUNITY FOUNDATION INC,29,466189,1005940
520595110,JOHNS HOPKINS UNIVERSITY,2,253100,25000
951230865,THE UNIVERSITY FOUNDATION CALIFORNIA STATE UNIVERSITY CHICO,5,11789,5797
680416404,TAHOE TRUCKEE COMMUNITY FOUNDATION,95,480198,573316
237073022,NATIONAL HEADACHE FOUNDATION,1,0,
860198599,MESA UNITED WAY INC,2,0,0
546053821,SIGMA PHI EPSILON EDUCATIONAL FOUNDATION,1,,
770273721,LOS ALTOS COMMUNITY FOUNDATION,34,1885296,1726820
411745553,EDUCARE FOUNDATION INC,1,,
570426335,CLEMSON UNIVERSITY FOUNDATION,1,,
562199252,The First Tee of Spartanburg Inc,3,,9600
222805163,UNITED JEWISH FEDERATION OF NORTHEASTERN NEW YORK INC,42,318233,325823
741109662,JEWISH FEDERATION OF SAN ANTONIO,37,127260,83347
810387934,WHITEFISH CHRISTIAN ACADEMY,,,
541920746,THE COMMUNITY FOUNDATION OF HARRISONBURG & ROCKINGHAM COUNTY,92,12778986,2756927
463469821,CREATIVE AGENTS OF CHANGE FOUNDATION INC,3,225606,87102
237093399,THE GOOD SHEPHERD FUND,,,
42104021,Boston Foundation Inc,679,149534543,95908143
271111667,THE CONFECTIONERY FOUNDATION,1,0,1000
344428259,JEWISH FEDERATION OF GREATER TOLEDO,60,349185,467136
237451680,BANNER COMMUNICATIONS INC,2,261910,224680
951816009,LOMA LINDA UNIVERSITY,10,1197245,300351
742341399,THE SUMMIT FOUNDATION,59,678709,1522136
233102612,PENNSYLVANIA AUTOMOTIVE ASSOCIATION FOUNDATION,77,3823270,2931279
752836123,DALLAS JEWISH COMMUNITY FOUNDATION,406,19718182,14182724
571042419,JEWISH ENDOWMENT FOUNDATION OF GREATER CHARLESTON,15,27087,188924
361000540,KATHERINE SHAW BETHEA HOSPITAL,1,31800,0
861151358,COMMUNITY FOUNDATION OF MERCED COUNTY,8,18000,21000
912049302,Three Rivers Community Foundation,11,90651,62065
42271714,CAPE AND ISLANDS UNITED WAY INC,3,141515,
510175056,WHITFIELD HEALTHCARE FOUNDATION INC,10,143667,40797
363451562,INITIATIVE FOUNDATION,22,796515,330462
352070789,WARREN COUNTY COMMUNITY FOUNDATION INC,13,18694,71270
481184667,WESTERN KANSAS COMMUNITY FOUNDATION,31,904846,590227
522038242,NATIONAL CATHOLIC COMMUNITY FOUNDATION,71,9650391,1757723
936022916,BENTON COMMUNITY FOUNDATION,13,100785,30000
810533002,WHITEFISH COMMUNITY FOUNDATION INC,34,6664394,1917316
231352588,UNITED WAY OF YORK COUNTY,1,0,63552
481169158,THE EMPORIA COMMUNITY FOUNDATION,23,355156,320859
311040215,ATHENS FOUNDATION INC,4,67277,143537
521655463,THE FERC DAYCARE CENTER,2,23545,20241
203577455,DOUGLAS COUNTY COMMUNITY FOUNDATION,2,49291,3885
264530730,CEDAR STREET CHARITABLE FOUNDATION INC,98,12867105,6880699
362167000,THE CHICAGO COMMUNITY TRUST,1128,458141059,308928856
941353727,REDWOOD CITY # 1991 BPO ELKS,,,
460416693,Mobridge Regional Healthcare Foundation,1,,
530220900,RESOURCES FOR THE FUTURE INC,4,,11000
42104363,JEWISH FEDERATION OF CENTRAL MASSACHUSETTS INC,25,20654,149798
42774790,PERMANENT ENDOWMENT FUND FOR MARTHA'S VINEYARD,1,0,46802
710255776,ENDEAVOR FOUNDATION CHARITABLE SUPPORT,,,11622538
510198869,CENTRAL COAST STATE PARKS ASSOCIATION,1,65700,67700
352125727,CASS COUNTY COMMUNITY FOUNDATION INC,32,147068,83046
510137132,THE GUILFORD FOUNDATION INC,31,136891,54705
582362123,SOUTH CAROLINA CHRISTIAN FOUNDATION,118,4417206,3320041
363788167,DEKALB COUNTY COMMUNITY FOUNDATION,39,160289,78998
161206169,THE WILLIAMSVILLE ROTARY FOUNDATIONINC,2,0,3500
630842355,CENTRAL ALABAMA COMMUNITY FOUNDATION INC,80,,4229426
201411118,Treasure Cay Community Foundation Inc,6,102760,31800
411717098,AMERICAN BRAIN FOUNDATION,2,0,82708
850311210,NEW MEXICO COMMUNITY FOUNDATION,37,593614,928676
351847297,COMMUNITY FOUNDATION OF MADISON AND JEFFERSON COUNTY INC,42,300642,154650
202031283,CLEARFIELD COUNTY CHARITABLE FOUNDATION,10,107805,39128
351797437,JOHNSON COUNTY COMMUNITY FOUNDATION INC,34,346771,198951
481156704,SOUTH CENTRAL COMMUNITY FOUNDATION,35,49025,79820
660413230,PUERTO RICO COMMUNITY FOUNDATION INC,34,816951,362508
541927558,GREATER WILLIAMSBURG COMMUNITY TRUST,37,292449,375990
911607005,Grays Harbor Community Foundation,,,
756042162,FIRST METHODIST CHURCH OF FORT WORTH FOUNDATION INC,1,,
910682177,UNITED WAY OF BENTON & FRANKLIN COUNTIES LoAnn Ayers,37,466506,554100
131776448,Episcopal Church Foundation,22,369050,158406
382180730,MICHIGAN GATEWAY COMMUNITY FOUNDATION,15,114835,102103
